customerID,lifespan_months,Customer_Segmentation,sum_quantity_bought,revenue,Customer_Monetary_Section,Average_Monthly_order,Average_Invoice_Order,count_customer_transactions,Customer_Frequency,country
13256,0,short term customer,12540,0,standard customer,NULL,0,1,one time buyer,United Kingdom
15808,2,short term customer,957,2824.47,VIP customer,1412.23,706.12,4,occasional buyer,United Kingdom
14823,1,short term customer,66,243.28,standard customer,243.28,81.09,3,occasional buyer,United Kingdom
17525,0,short term customer,58,271.5,standard customer,NULL,271.5,1,one time buyer,United Kingdom
14489,0,short term customer,114,161.63,standard customer,NULL,161.63,1,one time buyer,United Kingdom
13017,0,short term customer,48,204,standard customer,NULL,204,1,one time buyer,United Kingdom
13161,0,short term customer,28,104.25,standard customer,NULL,104.25,1,one time buyer,United Kingdom
14967,0,short term customer,128,448.8,standard customer,NULL,448.8,1,one time buyer,United Kingdom
16496,11,loyal customer,583,905.12,standard customer,82.28,301.71,3,occasional buyer,United Kingdom
13867,6,short term customer,288,751.09,standard customer,125.18,250.36,3,occasional buyer,United Kingdom
15785,9,loyal customer,1346,2029.15,VIP customer,225.46,405.83,5,occasional buyer,United Kingdom
12977,0,short term customer,10,37.94,standard customer,NULL,37.94,1,one time buyer,United Kingdom
13667,0,short term customer,99,182.3,standard customer,NULL,182.3,1,one time buyer,United Kingdom
15329,4,short term customer,293,691.16,standard customer,172.79,230.39,3,occasional buyer,United Kingdom
12498,1,short term customer,92,265.05,standard customer,265.05,88.35,3,occasional buyer,Germany
14530,9,loyal customer,1244,2506.46,VIP customer,278.5,417.74,6,frequent buyer,United Kingdom
17864,8,loyal customer,370,371.42,standard customer,46.43,123.81,3,occasional buyer,United Kingdom
12851,0,short term customer,89,105.31,standard customer,NULL,105.31,1,one time buyer,United Kingdom
14373,0,short term customer,17,76.55,standard customer,NULL,76.55,1,one time buyer,United Kingdom
14307,9,loyal customer,1353,1932.04,VIP customer,214.67,322.01,6,frequent buyer,United Kingdom
14068,0,short term customer,57,211.1,standard customer,NULL,211.1,1,one time buyer,United Kingdom
14966,0,short term customer,141,152.73,standard customer,NULL,152.73,1,one time buyer,United Kingdom
15165,0,short term customer,108,324.95,standard customer,NULL,324.95,1,one time buyer,United Kingdom
18262,0,short term customer,128,121.7,standard customer,NULL,121.7,1,one time buyer,United Kingdom
15932,10,loyal customer,1727,2098.05,VIP customer,209.81,262.26,8,frequent buyer,United Kingdom
14937,2,short term customer,304,1100.96,VIP customer,550.48,366.99,3,occasional buyer,Channel Islands
15006,0,short term customer,174,283.16,standard customer,NULL,283.16,1,one time buyer,United Kingdom
16847,0,short term customer,62,163.44,standard customer,NULL,163.44,1,one time buyer,United Kingdom
12653,5,short term customer,693,1855.63,VIP customer,371.13,927.81,2,occasional buyer,Israel
14132,6,short term customer,2462,2543.37,VIP customer,423.9,231.22,11,frequent buyer,United Kingdom
17679,1,short term customer,561,1647.71,VIP customer,1647.71,823.86,2,occasional buyer,United Kingdom
13260,0,short term customer,142,557.62,standard customer,NULL,557.62,1,one time buyer,United Kingdom
14148,0,short term customer,13,142.35,standard customer,NULL,142.35,1,one time buyer,United Kingdom
12971,12,loyal customer,8393,10273.47,high value customer,856.12,119.46,86,frequent buyer,United Kingdom
13927,0,short term customer,160,249.99,standard customer,NULL,249.99,1,one time buyer,United Kingdom
17218,12,loyal customer,672,1400.21,VIP customer,116.68,140.02,10,frequent buyer,United Kingdom
13362,9,loyal customer,779,1747.19,VIP customer,194.13,436.8,4,occasional buyer,United Kingdom
17830,10,loyal customer,70,283.6,standard customer,28.36,94.53,3,occasional buyer,United Kingdom
13593,7,loyal customer,553,1526.13,VIP customer,218.02,305.23,5,occasional buyer,United Kingdom
14859,6,short term customer,399,791.02,standard customer,131.84,197.75,4,occasional buyer,United Kingdom
14731,5,short term customer,207,313.8,standard customer,62.76,104.6,3,occasional buyer,United Kingdom
15815,7,loyal customer,1391,1410.7,VIP customer,201.53,282.14,5,occasional buyer,United Kingdom
12547,2,short term customer,86,157.4,standard customer,78.7,78.7,2,occasional buyer,Spain
15669,7,loyal customer,280,549.84,standard customer,78.55,137.46,4,occasional buyer,United Kingdom
16143,12,loyal customer,685,1878.48,VIP customer,156.54,313.08,6,frequent buyer,United Kingdom
13980,0,short term customer,148,195.58,standard customer,NULL,195.58,1,one time buyer,United Kingdom
17247,0,short term customer,72,174.27,standard customer,NULL,174.27,1,one time buyer,United Kingdom
13429,2,short term customer,710,532.36,standard customer,266.18,133.09,4,occasional buyer,United Kingdom
13062,0,short term customer,331,327.18,standard customer,NULL,327.18,1,one time buyer,United Kingdom
12682,12,loyal customer,3948,9339.32,VIP customer,778.28,301.27,31,frequent buyer,France
17931,4,short term customer,210,297.06,standard customer,74.27,148.53,2,occasional buyer,United Kingdom
18196,7,loyal customer,298,459.39,standard customer,65.63,229.69,2,occasional buyer,United Kingdom
16671,5,short term customer,875,1692.27,VIP customer,338.45,564.09,3,occasional buyer,United Kingdom
17844,0,short term customer,44,44.92,standard customer,NULL,44.92,1,one time buyer,Canada
16451,0,short term customer,74,183.47,standard customer,NULL,183.47,1,one time buyer,United Kingdom
13947,0,short term customer,20,51,standard customer,NULL,51,1,one time buyer,United Kingdom
15494,3,short term customer,709,864.86,standard customer,288.29,432.43,2,occasional buyer,United Kingdom
17921,7,loyal customer,298,609.92,standard customer,87.13,152.48,4,occasional buyer,United Kingdom
15604,0,short term customer,101,148.21,standard customer,NULL,148.21,1,one time buyer,United Kingdom
15883,1,short term customer,147,303.32,standard customer,303.32,151.66,2,occasional buyer,United Kingdom
15205,1,short term customer,290,534.44,standard customer,534.44,267.22,2,occasional buyer,United Kingdom
12510,6,short term customer,227,726.47,standard customer,121.08,363.24,2,occasional buyer,Spain
16145,12,loyal customer,2197,2733.56,VIP customer,227.8,248.51,11,frequent buyer,United Kingdom
17561,0,short term customer,124,130.07,standard customer,NULL,130.07,1,one time buyer,United Kingdom
14240,7,loyal customer,306,739.98,standard customer,105.71,369.99,2,occasional buyer,United Kingdom
17865,11,loyal customer,3427,7432.74,VIP customer,675.7,371.64,20,frequent buyer,United Kingdom
15244,6,short term customer,298,516.61,standard customer,86.1,258.31,2,occasional buyer,United Kingdom
17244,0,short term customer,499,803.55,standard customer,NULL,803.55,1,one time buyer,United Kingdom
14385,0,short term customer,135,176.11,standard customer,NULL,58.7,3,occasional buyer,United Kingdom
18147,2,short term customer,203,179.34,standard customer,89.67,89.67,2,occasional buyer,United Kingdom
13159,4,short term customer,668,1022.68,VIP customer,255.67,255.67,4,occasional buyer,United Kingdom
13321,0,short term customer,302,481.82,standard customer,NULL,240.91,2,occasional buyer,United Kingdom
17709,0,short term customer,17,137.45,standard customer,NULL,137.45,1,one time buyer,United Kingdom
15489,6,short term customer,437,837.08,standard customer,139.51,279.03,3,occasional buyer,United Kingdom
15524,0,short term customer,4,440,standard customer,NULL,440,1,one time buyer,United Kingdom
16659,0,short term customer,72,39.12,standard customer,NULL,39.12,1,one time buyer,United Kingdom
16114,0,short term customer,19,64.95,standard customer,NULL,64.95,1,one time buyer,United Kingdom
12856,2,short term customer,777,1623.32,VIP customer,811.66,270.55,6,frequent buyer,United Kingdom
13634,10,loyal customer,526,1254.22,VIP customer,125.42,250.84,5,occasional buyer,United Kingdom
13583,0,short term customer,423,494.23,standard customer,NULL,494.23,1,one time buyer,United Kingdom
17663,9,loyal customer,661,1535.61,VIP customer,170.62,219.37,7,frequent buyer,United Kingdom
13960,2,short term customer,88,170.76,standard customer,85.38,85.38,2,occasional buyer,United Kingdom
12938,0,short term customer,140,114.14,standard customer,NULL,114.14,1,one time buyer,United Kingdom
17824,0,short term customer,288,188.24,standard customer,NULL,188.24,1,one time buyer,United Kingdom
17254,1,short term customer,175,180.67,standard customer,180.67,90.34,2,occasional buyer,United Kingdom
18213,0,short term customer,145,183.58,standard customer,NULL,183.58,1,one time buyer,United Kingdom
14371,0,short term customer,34,100.5,standard customer,NULL,100.5,1,one time buyer,United Kingdom
13953,12,loyal customer,2702,3458.08,VIP customer,288.17,494.01,7,frequent buyer,United Kingdom
16718,0,short term customer,251,447.63,standard customer,NULL,447.63,1,one time buyer,United Kingdom
16722,11,loyal customer,2027,2055.19,VIP customer,186.84,158.09,13,frequent buyer,United Kingdom
18097,12,loyal customer,1366,2283.44,VIP customer,190.29,380.57,6,frequent buyer,United Kingdom
16321,8,loyal customer,129,355.95,standard customer,44.49,71.19,5,occasional buyer,Australia
16784,0,short term customer,16,77.6,standard customer,NULL,77.6,1,one time buyer,United Kingdom
15969,6,short term customer,102,550.4,standard customer,91.73,183.47,3,occasional buyer,United Kingdom
15655,0,short term customer,124,256.11,standard customer,NULL,256.11,1,one time buyer,United Kingdom
16248,0,short term customer,42,77.82,standard customer,NULL,77.82,1,one time buyer,United Kingdom
12531,0,short term customer,41,115.16,standard customer,NULL,115.16,1,one time buyer,Germany
17368,10,loyal customer,1045,1622.15,VIP customer,162.22,202.77,8,frequent buyer,United Kingdom
14314,0,short term customer,272,110.64,standard customer,NULL,110.64,1,one time buyer,United Kingdom
17190,5,short term customer,158,439.13,standard customer,87.83,219.56,2,occasional buyer,United Kingdom
16242,9,loyal customer,1150,2182.01,VIP customer,242.45,311.72,7,frequent buyer,United Kingdom
17070,0,short term customer,88,220.13,standard customer,NULL,220.13,1,one time buyer,United Kingdom
14684,11,loyal customer,501,737.74,standard customer,67.07,147.55,5,occasional buyer,United Kingdom
17339,9,loyal customer,140,198.36,standard customer,22.04,99.18,2,occasional buyer,United Kingdom
14548,6,short term customer,256,652.8,standard customer,108.8,326.4,2,occasional buyer,United Kingdom
15668,0,short term customer,72,76.32,standard customer,NULL,76.32,1,one time buyer,United Kingdom
13555,4,short term customer,1942,3150.21,VIP customer,787.55,787.55,4,occasional buyer,United Kingdom
12355,0,short term customer,216,373,standard customer,NULL,373,1,one time buyer,Bahrain
18118,11,loyal customer,2044,3951.18,VIP customer,359.2,151.97,26,frequent buyer,United Kingdom
17634,10,loyal customer,545,1628.05,VIP customer,162.8,180.89,9,frequent buyer,United Kingdom
13928,4,short term customer,129,464.57,standard customer,116.14,116.14,4,occasional buyer,United Kingdom
12410,0,short term customer,141,472.23,standard customer,NULL,236.12,2,occasional buyer,Switzerland
15327,0,short term customer,80,156.55,standard customer,NULL,156.55,1,one time buyer,United Kingdom
13336,0,short term customer,267,380.88,standard customer,NULL,380.88,1,one time buyer,United Kingdom
15709,0,short term customer,121,133.25,standard customer,NULL,133.25,1,one time buyer,United Kingdom
14711,8,loyal customer,805,2425.94,VIP customer,303.24,220.54,11,frequent buyer,United Kingdom
17331,0,short term customer,16,175.2,standard customer,NULL,175.2,1,one time buyer,United Kingdom
14495,2,short term customer,32,61.4,standard customer,30.7,30.7,2,occasional buyer,United Kingdom
12881,0,short term customer,19,281,standard customer,NULL,281,1,one time buyer,United Kingdom
16555,3,short term customer,147,260.81,standard customer,86.94,130.41,2,occasional buyer,United Kingdom
17470,10,loyal customer,1049,795.85,standard customer,79.59,159.17,5,occasional buyer,United Kingdom
14857,3,short term customer,231,687.37,standard customer,229.12,343.69,2,occasional buyer,United Kingdom
16272,0,short term customer,51,73.05,standard customer,NULL,73.05,1,one time buyer,United Kingdom
15654,0,short term customer,407,779.73,standard customer,NULL,389.87,2,occasional buyer,United Kingdom
17779,4,short term customer,299,526.08,standard customer,131.52,175.36,3,occasional buyer,United Kingdom
13046,8,loyal customer,217,559.46,standard customer,69.93,279.73,2,occasional buyer,United Kingdom
17068,11,loyal customer,945,2325.63,VIP customer,211.42,110.74,21,frequent buyer,United Kingdom
14201,10,loyal customer,560,695.48,standard customer,69.55,99.35,7,frequent buyer,United Kingdom
13029,11,loyal customer,114,1214.5,VIP customer,110.41,404.83,3,occasional buyer,United Kingdom
13887,0,short term customer,98,247.28,standard customer,NULL,247.28,1,one time buyer,United Kingdom
16204,0,short term customer,163,270.87,standard customer,NULL,270.87,1,one time buyer,United Kingdom
12691,11,loyal customer,326,837.6,standard customer,76.15,139.6,6,frequent buyer,France
18086,0,short term customer,106,101.34,standard customer,NULL,101.34,1,one time buyer,United Kingdom
14920,0,short term customer,368,643.87,standard customer,NULL,321.94,2,occasional buyer,United Kingdom
15918,3,short term customer,123,254.33,standard customer,84.78,127.16,2,occasional buyer,United Kingdom
12617,0,short term customer,134,239.25,standard customer,NULL,239.25,1,one time buyer,France
17861,11,loyal customer,1102,1422.26,VIP customer,129.3,177.78,8,frequent buyer,United Kingdom
14647,0,short term customer,74,204.94,standard customer,NULL,204.94,1,one time buyer,United Kingdom
17243,12,loyal customer,2985,7637.51,VIP customer,636.46,293.75,26,frequent buyer,United Kingdom
